npl	n_kv	ctx	T_PP_s	S_PP_tps	T_TG_s	S_TG_aggr_tps	per_agent_tps	T_total_s	status
1	2304	2304	1.342	1525.93	3.351	76.39	76.39	4.694	OK
2	4608	4608	2.233	1834.54	7.475	68.50	34.25	9.708	OK
4	9216	9216	4.240	1932.17	11.339	90.31	22.58	15.579	OK
8	18432	18432	8.298	1974.39	19.003	107.77	13.47	27.301	OK
16	36864	36864	16.587	1975.47	32.051	127.80	7.99	48.639	OK
24	55296	55296	24.899	1974.04	41.990	146.32	6.10	66.889	OK
32	73728	73728	32.949	1989.04	51.219	159.94	5.00	84.168	OK
40	92160	92160	40.808	2007.46	60.370	169.62	4.24	101.178	OK
48	110592	110592	49.470	1987.13	68.935	178.25	3.71	118.405	OK
56	129024	129024	61.570	1862.72	1426.965	10.05	0.18	1488.535	OK
