agents	prompt_n	agg_decode_tps	per_agent_tps	e2e_gen_tps	prefill_tps	batch_wall_s	status
1	2048	78.55	78.55	46.01	898.23	5.56	OK
2	2048	73.17	36.59	48.73	585.17	10.51	OK
4	2048	93.31	23.33	56.79	388.19	18.03	OK
8	2048	102.3	12.79	63.31	323.6	32.35	OK
16	2048	107.53	6.72	67.4	279.71	60.78	OK
24	2048	117.56	4.9	71.55	265.25	85.87	OK
32	2048	125.11	3.91	74.56	257.76	109.87	OK
40	2048	132.55	3.31	77.11	262.69	132.79	OK
48	2048	138.03	2.88	79.01	260.63	155.53	OK
56	2048	142.32	2.54	79.92	254.3	179.38	OK
