agents	prompt_n	agg_decode_tps	per_agent_tps	e2e_gen_tps	prefill_tps	batch_wall_s	status
1	2048	78.98	78.98	51.63	1204.84	4.96	OK
2	2048	72.43	36.22	53.91	1204.08	9.5	OK
4	2048	119.04	29.76	79.28	491.21	12.92	OK
8	2048	142.03	17.75	89.01	329.34	23.01	OK
16	2048	146.19	9.14	96.02	270.08	42.66	OK
24	2048	158.15	6.59	104.11	257.45	59.01	OK
32	2048	167.85	5.25	109.35	242.62	74.91	OK
40	2048	172.83	4.32	112.53	234.03	90.99	OK
48	2048	177.64	3.7	115.16	228.1	106.71	OK
56	2048	181.34	3.24	117.04	223.6	122.49	OK
