# AgentWorld-35B-A3B — Turbo vs Stock, Intel Arc Pro B70, Q5_K_M weights (identical), 2026-06-30/07-01
# Stock  = llama.cpp-sycl-moe-clean @885e3e325, DNN on,  -b 2048 -ub 512, f16 KV, upstream defaults
# Turbo  = llama.cpp-sycl-moe-ready (decode-fusion), GGML_SYCL_DISABLE_DNN=1, -b 8192 -ub 4096
# blank turbo cells = point not measured (turbo swept at 1/8/16/32)

## fleet — aggregate decode t/s (live server, tool class, -c 131072)
agents	stock	turbo
1	62.31	62.59
2	67.94
4	95.68
8	125.12	141.49
16	146.78	163.35
24	168.97
32	186.85	223.95
structured_x32	134.38	169.44
novel_x32	110.88	138.35

## prefill t/s vs prompt tokens (single stream)
prompt_tok	stock	turbo_f16	turbo_q8_0
805	635	832	768
3313	856	1522	1538
6963	849	1577	1571
14563	813	1452	1461
29713	712	1171	1180
61341	561	818	820
129325	381	487	486

## decode t/s vs context tokens (single stream)
context_tok	stock_f16	turbo_f16_shipped	turbo_q8_0
805	80.3	91.7	84.9
3313	78.9	89.3	74.1
6963	76.5	86.4	62.7
14563	72.0	81.1	47.0
29713	65.5	73.3	32.1
61341	55.3	60.6	19.3
129325	41.3	44.0	10.4
